127.0.0.1 - - [13/Mar/2025:09:17:02 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:46:32 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:48:05 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:48:19 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:48:29 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [13/Mar/2025:10:49:20 +0900] "GET /jsp_250312/chapter04/q1.jsp HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:12:28 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:13:03 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:13:39 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:14:10 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:14:50 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:16:33 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:16:35 +0900] "GET /jsp_250312/chapter04A/notice.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:20:54 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:20:55 +0900] "GET /jsp_250312/chapter04A/notice.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:20:57 +0900] "GET /jsp_250312/chapter04A/board.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:22:01 +0900] "GET /jsp_250312/chapter04A/top.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:22:05 +0900] "GET /jsp_250312/chapter04A/top.jsp?pageChange=notice.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:22:05 +0900] "GET /jsp_250312/chapter04A/top.jsp?pageChange=board.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:22:06 +0900] "GET /jsp_250312/chapter04A/top.jsp?pageChange=notice.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:22:11 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:22:12 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:22:13 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=board.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:22:14 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:22:14 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=board.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:23:36 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 500 2759
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:23:48 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 500 2759
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:27:15 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:27:16 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=board.jsp HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:27:16 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:27:26 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:27:28 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=board.jsp HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:27:28 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:27:29 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=board.jsp HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:27:29 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:01 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:02 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=faq.jsp HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:02 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=qna.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:03 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:21 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:23 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:36 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=faq.jsp HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:37 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=qna.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:39 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=board.jsp HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:29:39 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:33:53 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:33:55 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=java.jsp HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:33:56 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=jsp.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:33:57 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=oracle.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:33:57 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=html.jsp HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:33:58 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=css.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:04 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=css.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:05 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:06 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=board.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:06 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:07 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:08 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:08 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:09 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:10 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:15 +0900] "GET /jsp_250312/chapter04A/main.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:18 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:20 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=board.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:20 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:21 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=board.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:11:39:21 +0900] "GET /jsp_250312/chapter04A/main.jsp?pageChange=notice.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:09:08 +0900] "GET /jsp_250312/chapter05/today.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:09:55 +0900] "GET /jsp_250312/chapter05/today.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:10:01 +0900] "GET /jsp_250312/chapter05/today.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:13:29 +0900] "GET /jsp_250312/chapter05/include01.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:13:33 +0900] "GET /jsp_250312/chapter05/include01_header.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:13:40 +0900] "GET /jsp_250312/chapter05/include01.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:19:52 +0900] "GET /jsp_250312/chapter05/main01.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:30 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:33 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:33 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:33 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:33 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:34 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:34 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:34 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:34 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:34 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:23:34 +0900] "GET /jsp_250312/chapter05/include02_header.jsp HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:26:40 +0900] "GET /jsp_250312/chapter05/include02.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:26:43 +0900] "GET /jsp_250312/chapter05/include02.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:26:43 +0900] "GET /jsp_250312/chapter05/include02.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:26:43 +0900] "GET /jsp_250312/chapter05/include02.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:32:06 +0900] "GET /jsp_250312/chapter05/page.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:32:39 +0900] "GET /jsp_250312/chapter05/page.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:34:31 +0900] "GET /jsp_250312/chapter05/page.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:35:17 +0900] "GET /jsp_250312/chapter05/page.jsp HTTP/1.1" 500 2416
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:37:32 +0900] "GET /jsp_250312/chapter05/page.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:37:44 +0900] "GET /jsp_250312/chapter05/page.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:40:06 +0900] "GET /jsp_250312/chapter05/page.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:41:28 +0900] "GET /jsp_250312/chapter05/page.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [13/Mar/2025:12:44:55 +0900] "GET /jsp_250312/chapter05/include.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:10:59 +0900] "GET /jsp_250312/chapter06/requestTest.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:14:09 +0900] "GET /jsp_250312/chapter06/response_google.jsp HTTP/1.1" 500 2624
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:14:22 +0900] "GET /jsp_250312/chapter06/response_google.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:14:22 +0900] "GET /jsp_250312/chapter06/response_google.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:25:31 +0900] "GET /jsp_250312/chapter06/response01.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:25:34 +0900] "POST /jsp_250312/chapter06/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:25:34 +0900] "GET /jsp_250312/chapter06/response01_success.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:25:40 +0900] "GET /jsp_250312/chapter06/response01_success.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:25:40 +0900] "GET /jsp_250312/chapter06/response01_success.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:25:49 +0900] "GET /jsp_250312/chapter06/response01.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:25:51 +0900] "POST /jsp_250312/chapter06/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:25:51 +0900] "GET /jsp_250312/chapter06/response01_fail.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:25:52 +0900] "GET /jsp_250312/chapter06/response01.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:26:41 +0900] "GET /jsp_250312/chapter06/response01.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:26:53 +0900] "POST /jsp_250312/chapter06/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:26:53 +0900] "GET /jsp_250312/chapter06/response01_success.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:27:00 +0900] "POST /jsp_250312/chapter06/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:27:00 +0900] "GET /jsp_250312/chapter06/response01_success.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:27:02 +0900] "POST /jsp_250312/chapter06/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:27:02 +0900] "GET /jsp_250312/chapter06/response01_fail.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:27:06 +0900] "GET /jsp_250312/chapter06/response01.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:30:33 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:30:38 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:30:43 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:30:48 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:30:53 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:30:58 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:31:03 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:31:08 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:31:13 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:31:18 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:31:23 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:31:28 +0900] "GET /jsp_250312/chapter06/response02.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:44:32 +0900] "GET /jsp_250312/chapter06/login.html HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:44:43 +0900] "POST /jsp_250312/chapter06/testLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:44:43 +0900] "GET /jsp_250312/chapter06/login.html HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:44:49 +0900] "GET /jsp_250312/chapter06/login.html HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:44:49 +0900] "GET /jsp_250312/chapter06/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:44:50 +0900] "GET /jsp_250312/chapter06/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:44:50 +0900] "GET /jsp_250312/chapter06/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:44:50 +0900] "GET /jsp_250312/chapter06/login.html HTTP/1.1" 304 -
